2011_Year,2012_Year,2013_Year,2014_Year,2015_Year,2016_Year,2017_Year,2018_Year,2019_Year,2021_Year
4.24,3.69,4.16,3.86,3.77,3.05,3.52,4.04,4.41,3.56
4.37,3.85,4.37,3.93,3.84,3.18,3.75,4.685,4.45,3.69
4.61,3.97,4.48,4.15,4.11,3.61,3.86,4.14,4.85,3.86
4.71,4.17,4.49,4.18,4.2,3.76,3.99,4.1,4.87,4.74
4.89,4.42,4.54,4.21,4.4,3.78,4.04,4.205,4.95,4.87
5.03,4.57,4.67,4.47,4.46,4.08,4.17,4.83,5.41,4.89
5.07,4.64,5.04,4.7,4.49,4.17,4.44,4.77,5.46,4.98
5.18,4.66,5.15,4.85,4.52,4.21,4.56,5.19,5.59,5
5.19,4.71,5.17,4.92,4.62,4.38,4.6,5.25,5.77,5.04
5.35,4.82,5.25,5.02,4.65,4.5,4.76,5.19,5.88,5.05
5.45,4.95,5.26,5.13,4.78,4.73,5.06,4.885,6.09,5.38
5.94,5.24,5.42,5.17,4.84,4.97,5.1,5.52,6.26,5.39
6.13,5.42,5.51,5.18,4.97,5.21,5.12,5.21,6.76,5.43
6.47,5.62,5.54,5.23,5.05,5.22,5.31,5.665,6.87,5.79
,5.85,5.6,5.29,5.18,5.3,5.81,6.135,7.17,5.92
,5.93,5.82,5.48,5.87,5.34,6.01,6.69,8.05,6
,,,,,,,,,6.46
,,,,,,,,,7.32
